model,dataset,population,system,window,metric,group_macro_mse,n_scenes,n_groups
A5_NO_PHYSICAL,test,PRIMARY,NPCC140,10_30,total_mse,0.5878154089468666,500,216
A5_NO_PHYSICAL,test,PRIMARY,NPCC140,10_30,common_mse,0.0430868662576348,500,216
A5_NO_PHYSICAL,test,PRIMARY,NPCC140,10_30,spatial_mse,0.5447285426892317,500,216
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,full,total_mse,0.9288504010419452,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,full,common_mse,0.4232920005219771,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,full,spatial_mse,0.505558400519968,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,0_2,total_mse,0.48875883646950646,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,0_2,common_mse,0.2908591744325682,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,0_2,spatial_mse,0.19789966203693826,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,2_10,total_mse,0.9548393623158447,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,2_10,common_mse,0.43925328045360346,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,2_10,spatial_mse,0.5155860818622413,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,10_30,total_mse,0.9624947047065932,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,10_30,common_mse,0.4301630181903577,500,345
A5_NO_PHYSICAL,test,PRIMARY,IEEE39,10_30,spatial_mse,0.5323316865162355,500,345
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,full,total_mse,0.03368154157443358,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,full,common_mse,0.007205764149293379,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,full,spatial_mse,0.0264757774251402,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,0_2,total_mse,0.01459797209836684,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,0_2,common_mse,0.006842857275294688,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,0_2,spatial_mse,0.007755114823072154,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,2_10,total_mse,0.021243728419244844,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,2_10,common_mse,0.005797832212620797,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,2_10,spatial_mse,0.015445896206624048,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,10_30,total_mse,0.040565213563689875,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,10_30,common_mse,0.007805273347523223,1402,1300
A5_NO_PHYSICAL,wecc1600,PRIMARY,WECC179,10_30,spatial_mse,0.03275994021616665,1402,1300
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,full,total_mse,0.567775847670339,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,full,common_mse,0.052684338130329564,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,full,spatial_mse,0.5150915095400095,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,0_2,total_mse,0.12609421015615346,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,0_2,common_mse,0.02279019950231898,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,0_2,spatial_mse,0.10330401065383447,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,2_10,total_mse,0.4848433804407197,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,2_10,common_mse,0.04884331107453018,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,2_10,spatial_mse,0.4360000693661896,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,10_30,total_mse,0.6451296007499014,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,10_30,common_mse,0.05721080469254134,198,187
A5_NO_PHYSICAL,wecc1600,RISK,WECC179,10_30,spatial_mse,0.5879187960573602,198,187
