model,epoch,S_HIGH,IEEE39_0_2,IEEE39_2_10,NPCC140_0_2,NPCC140_2_10
G0_BALANCED,1,0.9578546622067677,0.12503355309991782,0.049777333729925405,0.052733341230951886,0.03143446869307147
G0_BALANCED,2,1.0040049650257565,0.12315705868569725,0.05841205512741456,0.05381798466193893,0.030781155554687526
G0_BALANCED,3,0.9537221156688981,0.10609234115781271,0.0481287317657668,0.05144600646360868,0.04021738044114194
G0_BALANCED,4,0.939657245546313,0.11258345768364214,0.051460472253616156,0.0498880149548142,0.0333103415647687
G0_BALANCED,5,1.1104531035389307,0.11127766914858744,0.055176598339515964,0.04986315473536874,0.05972849642896238
G0_BALANCED,6,1.0842201661421147,0.11568444081406251,0.054526104301785276,0.0503995642789404,0.053814382556274236
G0_BALANCED,7,1.0385945577147597,0.11469564286054273,0.05193718085180134,0.05268415797574169,0.047095207761689815
G0_BALANCED,8,1.0250130497454615,0.11108815034026433,0.05102324498476274,0.05328222741687306,0.04650530690706767
G0_BALANCED,9,0.9520273474930295,0.11466280641549158,0.05706331420575885,0.051577899578558586,0.027895061650295663
G0_BALANCED,10,0.9092739660561862,0.11368195265313988,0.05042350193141119,0.0518836342430934,0.027159940159826687
G0_BALANCED,11,0.9274174927378112,0.1168240197616426,0.05325935640896099,0.05097744989058342,0.027048237562435445
G0_BALANCED,12,1.0733882864572626,0.11817404510752923,0.05525651740001969,0.05357683146251797,0.04790836490763119
G0_BALANCED,13,1.032996366745514,0.11762836667406414,0.052654343790196116,0.05193475085362461,0.04491686701802268
G0_BALANCED,14,1.187387597613072,0.11802678189094656,0.05354516767261383,0.052236035638120584,0.07041069586523367
G0_BALANCED,15,0.9971641173998512,0.11984906820193471,0.06011544484232553,0.05068198547861157,0.03149369911411811
G0_BALANCED,16,0.9434009779331304,0.11765778316341174,0.053245506839266925,0.05051597362496053,0.029875914728593116
G0_BALANCED,17,0.9291227618788729,0.1186336976521676,0.056847981458490716,0.05053997358304829,0.023477906332931717
G0_BALANCED,18,0.9755815228162855,0.12263767179729282,0.05787369535964932,0.049670285348820134,0.029713855370697866
G0_BALANCED,19,0.9140680867262954,0.11662246804112182,0.05291785530377701,0.04975001539946456,0.02607399594010558
G0_BALANCED,20,0.9255848131978905,0.11998521428356898,0.05772960658242726,0.04978935460965509,0.022071295477903104
G0_BALANCED,21,0.9728527171132746,0.11784895560566866,0.0544856001196763,0.05005725570492922,0.034032672810110465
G0_BALANCED,22,0.9726223781918373,0.11986293712234675,0.052980733150256316,0.05040011342171538,0.03448314823695981
G0_BALANCED,23,1.0061000097448094,0.12078423885920518,0.06587568601318013,0.049980430845922554,0.027553642202030812
G0_BALANCED,24,0.9399179396946855,0.11708704762483943,0.05605533242480168,0.05041059197593224,0.026790528570408697
G0_BALANCED,25,0.8799029511884715,0.1204580848655233,0.05192098964545893,0.05001992017173233,0.019536826982088917
G0_BALANCED,26,0.9153016583742981,0.12000847796508038,0.05490412004269173,0.050591178433556906,0.02246020896512359
G0_BALANCED,27,0.9809814196853139,0.11760545307967182,0.06064158027742347,0.051087408973947576,0.028682549382419445
G0_BALANCED,28,0.9450351569348744,0.11736695468506592,0.05415063601158069,0.05097112409993618,0.029028572818121864
G0_BALANCED,29,0.9719954169239644,0.11955666665638987,0.057007119289111195,0.05064731198237781,0.030330383087565103
G0_BALANCED,30,0.9335589438115381,0.11847510272747004,0.0548598953914209,0.05091281004477156,0.025981857613396733
G0_BALANCED,31,0.9240983041052818,0.11914803098516726,0.052380695204534415,0.049970408031997295,0.02725426381715326
G0_BALANCED,32,0.9356306174341336,0.11826487689773608,0.053147128190331655,0.05089402534436901,0.028119788948859352
G0_BALANCED,33,0.947164086547694,0.11519971808480346,0.05317334303491522,0.05010193971963808,0.03180749193053078
G0_BALANCED,34,0.9221219395496523,0.11650915878578891,0.05349363392356214,0.050548654441698385,0.0263389390065619
G0_BALANCED,35,0.8830778082869194,0.11440512226441416,0.05415505470977635,0.04919730498504614,0.020711852972995843
G0_BALANCED,36,0.9475020715380429,0.11482695358143913,0.05918351668277638,0.0486975672575212,0.027139641325887247
G0_BALANCED,37,0.9054894774233536,0.11573001851332537,0.055795597248408046,0.04814320081549715,0.02329157988733322
G0_BALANCED,38,0.8991601378760007,0.1121821831981964,0.05210473649891601,0.047745351593886376,0.027426562537024215
G0_BALANCED,39,0.913778171260629,0.11906243390663386,0.05384667419438694,0.046640865156904396,0.02657056042622135
G0_BALANCED,40,0.9382369409107096,0.1184208543284759,0.054293374775005704,0.04629122826607156,0.030865322138961402
G0_BALANCED,41,0.9476264933202494,0.11632004824919523,0.060297269439893025,0.04691366859379584,0.02686845646539516
G0_BALANCED,42,0.9624304553788745,0.11378929822143458,0.05693574612325323,0.045415058190060094,0.034801585528174236
G0_BALANCED,43,0.8725015437054137,0.11502836383038234,0.05393453164969375,0.04466273285397461,0.022299196063347817
G0_BALANCED,44,0.8767639035133726,0.11350135126966006,0.05582771549408994,0.04477325352523469,0.02164416193886646
G0_BALANCED,45,0.943445630008402,0.11491632903496521,0.06450046114066212,0.04574843577816644,0.023393684486282453
G0_BALANCED,46,0.8991906347351097,0.11149573362999445,0.053883305524588185,0.0445566958748704,0.02834010774920717
G0_BALANCED,47,0.9262756568387434,0.11184608805053897,0.05581292803111643,0.045066363648592664,0.03061691672383014
G0_BALANCED,48,0.8865881009574096,0.1161825775501037,0.05432540144177433,0.045134519263291484,0.023576851764612154
G0_BALANCED,49,0.9032759837155481,0.11376270276233465,0.057346862894823415,0.04358304069931984,0.025544229528057523
G0_BALANCED,50,0.9238967172707634,0.11061384261732887,0.053939259728899826,0.04685155230754934,0.031150599642808308
G0_BALANCED,51,0.8923186182896574,0.11154282398681045,0.057821572538753876,0.04401804356258984,0.023657928524635892
G0_BALANCED,52,0.885335478765384,0.10988207628217468,0.05325939616152561,0.04328654730636913,0.02810335423121724
G0_BALANCED,53,0.8964739875823643,0.11091591242067043,0.05326999719971149,0.04462310804060812,0.02863505028646881
G0_BALANCED,54,0.8473300866167278,0.11108464545379272,0.05336392736429569,0.04288998473638528,0.021278512149352384
G0_BALANCED,55,0.8443165244384785,0.11021387425319708,0.05317058495279521,0.043962021020923385,0.02045358308855016
G0_BALANCED,56,0.899464943870476,0.11093844784291548,0.06114521321235349,0.04437086645982068,0.02157313297771842
G0_BALANCED,57,0.833121573170232,0.10849281103073621,0.052804183796730714,0.0427560397561049,0.02041442994124251
G0_BALANCED,58,0.8286754867082988,0.1083755184037667,0.05521806522127175,0.04300973799068523,0.01711576634747788
G0_BALANCED,59,0.9659351796597488,0.11722219426029255,0.0638916960249357,0.04370864159890689,0.028592068801315092
G0_BALANCED,60,0.8472962597700594,0.10895312944925761,0.05821195405422293,0.042578137383979975,0.017506301175659884
A1_NO_BALANCE,1,1.6004444038419323,0.11142948885958197,0.028410001409242738,0.06804128606200086,0.15719053535363414
A1_NO_BALANCE,2,0.9879858198038134,0.12591055667148654,0.055672821561150096,0.05228306517110571,0.030863882592871587
A1_NO_BALANCE,3,1.0132779638472575,0.1180840943752821,0.04948281891511472,0.04922051286145262,0.04651378363537454
A1_NO_BALANCE,4,0.8684033971164352,0.11668797698987345,0.05113490067440986,0.04965074934525979,0.019972245860840246
A1_NO_BALANCE,5,1.228593869193649,0.11775769200851618,0.06599744030457991,0.05166832990638552,0.0658019512633413
A1_NO_BALANCE,6,1.0606645095595038,0.12057611380835193,0.06052043162916713,0.05014645311351919,0.04223467097819527
A1_NO_BALANCE,7,1.091290755930648,0.11288327214592694,0.05788311597391438,0.050236173805064024,0.052874232150287304
A1_NO_BALANCE,8,0.9466636101985845,0.11707009341469891,0.05468839852912499,0.04995819888677615,0.029654734415015243
A1_NO_BALANCE,9,1.0246437324376902,0.11744299026157726,0.055357117549575785,0.05050912695997039,0.041951456298857964
A1_NO_BALANCE,10,0.9441046179539218,0.1175177898649215,0.05741751840847411,0.050609678053024756,0.02586560502904792
A1_NO_BALANCE,11,1.0575472331152334,0.11952705528273629,0.05653441603198756,0.050733931697448435,0.04556158250084168
A1_NO_BALANCE,12,0.97263845297709,0.11388420598179427,0.054167599192473145,0.05050481561643024,0.03541490856590833
A1_NO_BALANCE,13,0.8728293919935353,0.11553350890029222,0.05171944764768877,0.050027761657328224,0.02029823377906139
A1_NO_BALANCE,14,0.9306963526712524,0.11916768716019548,0.056239468344180754,0.050374848228530306,0.02428064493977256
A1_NO_BALANCE,15,0.8871649821816266,0.11487257960026234,0.055759679193604555,0.05035483137834646,0.018792556403723345
A1_NO_BALANCE,16,0.9695475725808823,0.11621071942148244,0.053903913586004326,0.05057645269549903,0.03423767659364875
A1_NO_BALANCE,17,0.9596298590773413,0.11677142444151409,0.05137777710363151,0.05072726427305118,0.03469134454282455
A1_NO_BALANCE,18,1.0304811606071291,0.11818541946764055,0.05328075366799645,0.05106571149313278,0.044317962405800874
A1_NO_BALANCE,19,1.0237722657924984,0.11823778881234942,0.05377394327199902,0.05072726181506463,0.042906522037751874
A1_NO_BALANCE,20,1.0203160423608706,0.11669194117447035,0.05266862169104575,0.0503361672184901,0.04425622210414196
A1_NO_BALANCE,21,0.9767445992050707,0.12364247721168904,0.055514125892657515,0.050119673182104946,0.031535268314650915
A1_NO_BALANCE,22,0.9054260315532672,0.12001728429305446,0.053404802100632094,0.05029173832804889,0.022450580236346104
A1_NO_BALANCE,23,0.9359713502308831,0.12015835238631374,0.05180193608282095,0.04991838352633409,0.029552772499899196
A1_NO_BALANCE,24,0.9252846231212772,0.11905348069798583,0.056514654437697175,0.05027678859370564,0.023187691335321368
A1_NO_BALANCE,25,0.9215447212681002,0.11811952122591891,0.054311810247917536,0.04995508519862614,0.025294689921557804
A1_NO_BALANCE,26,0.9542960205766811,0.11799260724491153,0.054598985819785846,0.050554842338594336,0.03027775259339284
A1_NO_BALANCE,27,0.970467431783389,0.12114757880849952,0.05378664121846231,0.05046636374948224,0.03279737725150396
A1_NO_BALANCE,28,0.9741482218668533,0.11753820605127117,0.05258733173760915,0.05053567599527886,0.035879623050862466
A1_NO_BALANCE,29,0.9471976854679854,0.11841676325095649,0.055828627870918475,0.049899404872449364,0.02817720202340596
A1_NO_BALANCE,30,0.9417797845313312,0.11717295606288104,0.055666089110225685,0.05021936472856426,0.02761004136627541
A1_NO_BALANCE,31,0.9110890430568104,0.1143250033108648,0.05620638504198297,0.049847496168999146,0.02307969543798103
A1_NO_BALANCE,32,0.9220558003364768,0.11906691727849625,0.052315006885253104,0.050147750445058766,0.026860633712627133
A1_NO_BALANCE,33,0.9100667681130035,0.11705767244057823,0.05358827110858999,0.05019026865536502,0.02422855681311709
A1_NO_BALANCE,34,1.0016267641056025,0.11582883369599221,0.055758534749603184,0.05099487901484244,0.037789296835935224
A1_NO_BALANCE,35,0.8966074418586762,0.1148680427384348,0.05357679673363055,0.050620216626413694,0.022380878955594256
A1_NO_BALANCE,36,0.9015583941114145,0.1178455493391881,0.05648537566522131,0.049852185322168056,0.019867643618421454
A1_NO_BALANCE,37,0.9617133697339528,0.11490400272287922,0.05631845160266865,0.04966324089317373,0.031667193146596204
A1_NO_BALANCE,38,0.9661687783277345,0.1143905819779577,0.05801271181032226,0.04942673543808843,0.031134856242148127
A1_NO_BALANCE,39,0.9997476981446238,0.11507581373276186,0.06879401063585908,0.04889767248710418,0.026475033487085894
A1_NO_BALANCE,40,0.9231305362517686,0.11367909895165519,0.05462485020066156,0.04869430657662052,0.0278318984308761
A1_NO_BALANCE,41,0.9039678088740303,0.11282230251061749,0.056297000738796926,0.049204823015150265,0.02279021133116273
A1_NO_BALANCE,42,0.9499433451756276,0.11262370471376586,0.06236947823959594,0.047607322289389256,0.02604924996158155
A1_NO_BALANCE,43,0.906916638602187,0.11284930088884558,0.054973253064237365,0.047609791774811096,0.025802201239521518
A1_NO_BALANCE,44,0.8914002682409481,0.11255520066307598,0.057473609180417926,0.047657842823705665,0.020720541150284787
A1_NO_BALANCE,45,0.9531391904717231,0.11538134897623521,0.06476713370679969,0.046843350983607285,0.023812621786249637
A1_NO_BALANCE,46,0.9046905008212943,0.11087170368680346,0.05580545975773308,0.045775385976629085,0.02670391522410372
