model,system,window,metric,stratum,group_mean_difference,group_median_difference,group_win_rate,ci95_low,ci95_high
A1_NO_BALANCE,NPCC140,full,trajectory_rmse,BELOW_HIGH,0.0018070351272540632,0.0004822218803964476,0.4264705882352941,-0.0017388287836565808,0.006573611894201426
A1_NO_BALANCE,NPCC140,full,differential_rmse,BELOW_HIGH,0.01106033313640884,8.237130605415413e-05,0.4117647058823529,0.004883572358423781,0.018569886293960308
A1_NO_BALANCE,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,-0.0009353540580734043,-0.0009440291020553729,0.5735294117647058,-0.003148599225915181,0.0007953952415654691
A1_NO_BALANCE,NPCC140,0_2,differential_rmse,BELOW_HIGH,0.00384603499268941,-0.0006830676863200867,0.6911764705882353,0.0011952709516216044,0.007012545483193972
A1_NO_BALANCE,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,0.0013660946490121051,0.0012524598745002162,0.35714285714285715,0.0001767133784848531,0.0027551889472367825
A1_NO_BALANCE,NPCC140,2_10,differential_rmse,BELOW_HIGH,0.0009004780747057654,-0.00010983168853541221,0.5535714285714286,-0.0010249113468482896,0.003243148399886297
A1_NO_BALANCE,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,0.0038459121826274123,8.008690492010381e-05,0.48214285714285715,6.944614265133039e-05,0.010187952316740913
A1_NO_BALANCE,NPCC140,10_30,differential_rmse,BELOW_HIGH,0.01002018810628585,0.0002223177507178499,0.26785714285714285,0.0015698852614272564,0.02113067051306111
A1_NO_BALANCE,IEEE39,full,trajectory_rmse,BELOW_HIGH,0.009150558693520645,0.003036637825837989,0.4217391304347826,0.0045561676084392945,0.013692234431152073
A1_NO_BALANCE,IEEE39,full,differential_rmse,BELOW_HIGH,0.01219174601997469,0.0005697713035875214,0.4217391304347826,0.00710334957539165,0.01762339617629198
A1_NO_BALANCE,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,0.0043607074343530805,0.003942502241606368,0.3565217391304348,0.0016492136886604792,0.006963072537534784
A1_NO_BALANCE,IEEE39,0_2,differential_rmse,BELOW_HIGH,0.00798609794350773,0.0010540947443103618,0.4260869565217391,0.0048129558560434825,0.011589177468782774
