model,epoch,dataset,population,system,scope,scope_value,window,metric,n_records,n_scenes,n_groups,group_macro,record_median,record_p90
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,0_2,max_abs_rocof_error,3706,500,365,0.5525042697942184,0.21644816421244312,1.5364273794686956
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,0_2,trajectory_rmse,617,333,218,0.13026545583774868,0.028496600263139896,0.17855891515740746
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,0_2,differential_rmse,617,333,218,0.11865767851349109,0.02444041865312227,0.14676651351790387
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,0_2,nadir_error,617,333,218,0.11010546175978567,0.023560374975204468,0.2811595827341077
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,0_2,max_abs_rocof_error,617,333,218,1.2958116318534254,0.05657058044587628,4.033529674813463
G0_BALANCED,53,validation,ALL_1000,IEEE39,pair,SG_GFM,0_2,pair_rmse,333,333,218,0.13774650701357588,0.038271912627473204,0.3539357951746446
G0_BALANCED,53,validation,ALL_1000,IEEE39,pair,ALL,0_2,pair_rmse,500,500,365,0.07844908353135545,0.038458679044657613,0.1797312822791892
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,0_2,spread_mae,500,500,365,0.10149702301327657,0.03717117914710027,0.2574425412007306
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,0_2,spread_mae,109,109,78,0.03660795693178223,0.022251486023895442,0.06828504996800472
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,0_2,spread_mae,457,457,324,0.0669927956925146,0.03517176832618313,0.16579228725944212
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,2_10,trajectory_rmse,4780,500,365,0.0296760819820953,0.016584782002756038,0.06419928884917989
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,2_10,differential_rmse,4780,500,365,0.01713143194169992,0.003759462101374513,0.028681869472042515
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,2_10,nadir_error,4780,500,365,0.03708860782566612,0.01277964934706688,0.08027747124433518
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,2_10,max_abs_rocof_error,4780,500,365,0.14294291742632828,0.020140841715597005,0.17040301965870447
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,2_10,trajectory_rmse,1090,109,78,0.02663909011213622,0.00731158960329591,0.06943931659621273
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,2_10,differential_rmse,1090,109,78,0.0039103532054528805,0.002616916093604052,0.010365129327572265
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,2_10,nadir_error,1090,109,78,0.029767319811530257,0.006898728432133794,0.08186551108956337
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,2_10,max_abs_rocof_error,1090,109,78,0.020926034532035443,0.01065644229501198,0.04174789283380316
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,trajectory_rmse,4350,457,324,0.026712416758359007,0.014513022743176325,0.06313276823923637
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,differential_rmse,4350,457,324,0.012080447712499713,0.0033875650689980056,0.014313990357950836
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,nadir_error,4350,457,324,0.029855396703794317,0.00977278407663107,0.07439514696598053
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,max_abs_rocof_error,4350,457,324,0.0324864004270856,0.016373477756753654,0.07932580749469516
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,2_10,trajectory_rmse,3706,500,365,0.022756783521949906,0.01669416563738895,0.0616679723820607
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,2_10,differential_rmse,3706,500,365,0.010810787182800801,0.0033535685835517468,0.02809437481338253
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,2_10,nadir_error,3706,500,365,0.028400528042312276,0.011525878682732582,0.07532128691673279
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,2_10,max_abs_rocof_error,3706,500,365,0.05509713446070593,0.01730256386037373,0.14086923107151544
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,2_10,trajectory_rmse,617,333,218,0.12356142971920137,0.015216875282193983,0.0892623816770133
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,2_10,differential_rmse,617,333,218,0.1102681679778697,0.009698375154975564,0.052620703400167376
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,2_10,nadir_error,617,333,218,0.1445911927663075,0.01771655702032149,0.1342945635318756
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,1,2_10,max_abs_rocof_error,617,333,218,1.3580565469240569,0.040042028765229006,0.5936471437255513
G0_BALANCED,53,validation,ALL_1000,IEEE39,pair,SG_GFM,2_10,pair_rmse,333,333,218,0.12476684627927907,0.019839006176189153,0.3000454570051921
G0_BALANCED,53,validation,ALL_1000,IEEE39,pair,ALL,2_10,pair_rmse,500,500,365,0.038172414549454824,0.008118993460798151,0.08295079973034805
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,2_10,spread_mae,500,500,365,0.07040770656671949,0.009326008290864107,0.13870136529284677
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,2_10,spread_mae,109,109,78,0.01142722113219564,0.007453626140771753,0.016831783887817774
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,spread_mae,457,457,324,0.04670932219222798,0.007990042482410642,0.033799377425776565
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,10_30,trajectory_rmse,4780,500,365,0.02364540785368143,0.009843375059301104,0.05279969415659342
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,10_30,differential_rmse,4780,500,365,0.015371501084043929,0.002602902428649566,0.025792026951652638
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,10_30,nadir_error,4780,500,365,0.025992968899927617,0.008753145724767819,0.05498700439929965
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,10_30,max_abs_rocof_error,4780,500,365,0.030248381436743004,0.004656063625589013,0.026027883589267754
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,10_30,trajectory_rmse,1090,109,78,0.023035012478001986,0.007085143096246247,0.06127440547312699
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,10_30,differential_rmse,1090,109,78,0.0035352225236173684,0.0019376203414455846,0.008307699319038096
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,10_30,nadir_error,1090,109,78,0.02292277864514214,0.006060972809791565,0.062367390096187594
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,10_30,max_abs_rocof_error,1090,109,78,0.005502475697711296,0.003231699112802744,0.009541067481040954
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,10_30,trajectory_rmse,4350,457,324,0.021345048006657732,0.009348328177086945,0.05162547649821781
