model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
A2_NO_SPATIAL,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.00546464512672179,0.0010677816087988142,0.005883143758535947
A2_NO_SPATIAL,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.007341461898508521,0.004608761242123227,0.007630019929553374
A2_NO_SPATIAL,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.009213989161676301,0.0008592337834762812,0.002297536117067138
A2_NO_SPATIAL,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.0764356846097486,0.030413710664837963,0.09699835135050686
A2_NO_SPATIAL,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.05497232258528431,0.007308914389572811,0.0625880276784301
A2_NO_SPATIAL,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.05008146861774539,0.033772536961353655,0.12277115719724026
A2_NO_SPATIAL,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.0308090362550879,0.01721511293469987,0.05688301281022451
A2_NO_SPATIAL,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.09193086899550566,0.027083884280941554,0.1052678302414785
A2_NO_SPATIAL,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.05529316634155582,0.0036387173856872283,0.03807805811264848
A2_NO_SPATIAL,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.09710437361331392,0.025116501909083752,0.09940522680894565
A2_NO_SPATIAL,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.060363943510803424,0.0025767535428506843,0.03526390460649106
A3_F_ONLY,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.012557772414320042,0.005604168700811942,0.011464704020295766
A3_F_ONLY,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.015676556576094652,0.0019774351859579878,0.00863624452687893
A3_F_ONLY,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.02001095360523473,0.010524133016209284,0.028243809411555524
A3_F_ONLY,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.01432518702823517,0.004095598018117658,0.025582494575700356
