model,reference,dataset,population,system,scope,scope_value,window,metric,n_paired_records,model_records,reference_records,n_paired_scenes,n_groups,group_mean_difference,group_median_difference,group_win_rate,ci95_low,ci95_high
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,0_2,nadir_error,4952,4952,4952,500,365,0.0008230851599886253,0.000913949846290052,0.4547945205479452,-0.00115156265692037,0.002941514003900365
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,0_2,max_abs_rocof_error,4780,4780,4780,500,365,0.0027452642930633772,0.020691770477905894,0.4328767123287671,-0.0030918861004466417,0.008367009935043915
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,0_2,trajectory_rmse,1090,1090,1090,109,78,0.016390382835031744,0.0033080146743155554,0.15384615384615385,0.011642786213530142,0.021340190910082574
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,0_2,differential_rmse,1090,1090,1090,109,78,-0.0016424573454175428,-0.0008606751440336705,0.6794871794871795,-0.002254352419729834,-0.001037718264088817
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,0_2,nadir_error,1090,1090,1090,109,78,0.02159705666205518,0.003816540667321533,0.15384615384615385,0.015290342114256837,0.028231424461686028
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,0_2,max_abs_rocof_error,1090,1090,1090,109,78,0.05604180974600645,0.06536354019944363,0.16666666666666666,0.04566951603175217,0.06574327575822961
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,0_2,trajectory_rmse,4522,4522,4522,457,324,0.006830790732375077,0.0037670554864157437,0.1111111111111111,0.005494023972919696,0.008296023415276037
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,0_2,differential_rmse,4522,4522,4522,457,324,-0.0006091075048838593,0.00010158416110883216,0.48148148148148145,-0.0009663284316308203,-0.0002551675793412034
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,0_2,nadir_error,4522,4522,4522,457,324,0.0017382610020814412,0.0017533849924802778,0.38580246913580246,-0.0004985248934119145,0.004119394647614344
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,0_2,max_abs_rocof_error,4350,4350,4350,457,324,0.008769678267161485,0.02520237777972742,0.36419753086419754,0.0026377369190382473,0.014758078036124143
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,0_2,trajectory_rmse,3878,3878,3878,500,365,0.0060924298815623985,0.004085800914285954,0.136986301369863,0.004949756411328253,0.0073242454898030775
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,0_2,differential_rmse,3878,3878,3878,500,365,-0.0003508317949955134,-1.3633502561622346e-05,0.5013698630136987,-0.0006302530079833156,-7.114340749808955e-05
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,0_2,nadir_error,3878,3878,3878,500,365,0.0021417819371204578,0.002778596244752407,0.3972602739726027,0.00016346275710416215,0.004203556121462873
